ID_ARTC,LB_VENT_RAYN,LB_VENT_FAML,LB_VENT_SOUS_FAML
905,CREMERIE LS,ULTRA FRAIS,ULTRA FRAIS - SS-FAML 2
477,LIQUIDES,BOISSONS GAZEUSES ET PLATES,BOISSONS GAZEUSES ET PLATES - SS-FAML 6
863,LIQUIDES,BIERES ET CIDRES,BIERES ET CIDRES - SS-FAML 2
1741,EPICERIE SUCREE,CAFES / CHICOREE,CAFES / CHICOREE - SS-FAML 2
983,CREMERIE LS,FROMAGE LS,FROMAGE LS - SS-FAML 2
1862,CREMERIE LS,MARGARINE/PATE A TARTINER,MARGARINE/PATE A TARTINER
147,EPICERIE SALEE,CONSERVES DE LEGUMES,CONSERVES DE LEGUMES - SS-FAML 3
484,CREMERIE LS,FROMAGE LS,FROMAGE LS - SS-FAML 5
1931,EPICERIE SALEE,RIZ PUREE COUSCOUS  LEG SEC,RIZ PUREE COUSCOUS  LEG SEC - SS-FAML 4
1744,EPICERIE SUCREE,DEVANT DE CAISSE (DDC),DEVANT DE CAISSE (DDC) - SS-FAML 2
2009,EPICERIE SUCREE,ALIMENTATION POUR BEBE,ALIMENTATION POUR BEBE - SS-FAML 3
1265,CHARCUTERIE TRAITEUR LS,TRAITEUR LS,TRAITEUR LS - SS-FAML 8
1264,CREMERIE LS,ULTRA FRAIS,ULTRA FRAIS - SS-FAML 1
1253,CREMERIE LS,ULTRA FRAIS,ULTRA FRAIS - SS-FAML 2
1141,EPICERIE SALEE,CONSERVES DE LEGUMES,CONSERVES DE LEGUMES - SS-FAML 5
1409,SURGELES,SURGELES POISSONS,SURGELES POISSONS - SS-FAML 4
2068,ALIMENTATION POUR ANIMAUX,ALIMENTS POUR CHATS,ALIMENTS POUR CHATS - SS-FAML 2
797,SURGELES,SURGELES LEGUMES,SURGELES LEGUMES - SS-FAML 1
166,LIQUIDES,JUS DE FRUITS,JUS DE FRUITS - SS-FAML 2
51,D.P.H.,EMBALLAGES / EPONGES,EMBALLAGES / EPONGES - SS-FAML 3
1061,EPICERIE SALEE,HUILES,HUILES - SS-FAML 2
2146,EPICERIE SALEE,RIZ PUREE COUSCOUS  LEG SEC,RIZ PUREE COUSCOUS  LEG SEC - SS-FAML 6
1220,EPICERIE SALEE,CONSERVES DE POISSONS,CONSERVES DE POISSONS - SS-FAML 2
1695,LIQUIDES,MOUSSEUX ET PETILLANTS,MOUSSEUX ET PETILLANTS - SS-FAML 3
1503,EPICERIE SUCREE,CAFES / CHICOREE,CAFES / CHICOREE - SS-FAML 5
1429,EPICERIE SALEE,SOLUTION CULINAIRE,SOLUTION CULINAIRE - SS-FAML 2
1718,BAZAR LEGER,VAISSELLE A JETER,VAISSELLE A JETER - SS-FAML 3
457,EPICERIE SUCREE,CONFISERIE DE CHOCOLAT,CONFISERIE DE CHOCOLAT - SS-FAML 1
326,LIQUIDES,BIERES ET CIDRES,BIERES ET CIDRES - SS-FAML 4
1229,LIQUIDES,BIERES ET CIDRES,BIERES ET CIDRES - SS-FAML 1
1161,CHARCUTERIE TRAITEUR LS,SAUCISSONS SAUCISSES SECHES,SAUCISSONS SAUCISSES SECHES - SS-FAML 5
974,CHARCUTERIE TRAITEUR LS,TRAITEUR LS,TRAITEUR LS - SS-FAML 7
884,ALIMENTATION POUR ANIMAUX,ALIMENTS POUR CHATS,ALIMENTS POUR CHATS - SS-FAML 1
1217,CHARCUTERIE TRAITEUR LS,TRAITEUR LS,TRAITEUR LS - SS-FAML 5
2000,EPICERIE SALEE,SAUCES PATES ET RIZ / COULIS,SAUCES PATES ET RIZ / COULIS - SS-FAML 1
653,D.P.H.,PAPIERS HYGIENIQUES,PAPIERS HYGIENIQUES
2189,D.P.H.,ACCESSOIRES COIFFANT/TOILETTE,ACCESSOIRES COIFFANT/TOILETTE
1631,CHARCUTERIE TRAITEUR LS,TRAITEUR LS,TRAITEUR LS - SS-FAML 8
1461,CHARCUTERIE TRAITEUR LS,TRAITEUR LS,TRAITEUR LS - SS-FAML 9
1428,CHARCUTERIE TRAITEUR LS,CHARCUTERIE LS ET SALAISON,CHARCUTERIE LS ET SALAISON - SS-FAML 9
1448,LIQUIDES,VINS SUPERIEURS ET VINS FINS,VINS SUPERIEURS ET VINS FINS - SS-FAML 12
1753,BAZAR LEGER,CARBURANTS ET COMBUSTIBLES,CARBURANTS ET COMBUSTIBLES
1735,LIQUIDES,BOISSONS GAZEUSES ET PLATES,BOISSONS GAZEUSES ET PLATES - SS-FAML 5
248,CREMERIE LS,ULTRA FRAIS,ULTRA FRAIS - SS-FAML 2
940,ALIMENTATION POUR ANIMAUX,ALIMENTS POUR CHATS,ALIMENTS POUR CHATS - SS-FAML 1
2262,D.P.H.,LAVAGE DU LINGE,LAVAGE DU LINGE - SS-FAML 3
1254,FRUITS ET LEGUMES,F/L RAYON REFRIGERE,F/L RAYON REFRIGERE
932,EPICERIE SUCREE,BISCOTTES ET PAINS GRILLES,BISCOTTES ET PAINS GRILLES - SS-FAML 1
104,CREMERIE LS,ULTRA FRAIS,ULTRA FRAIS - SS-FAML 2
1342,LIQUIDES,EAUX MINERALES / SOURCES,EAUX MINERALES / SOURCES - SS-FAML 1
807,EPICERIE SUCREE,BISCUITERIE,BISCUITERIE - SS-FAML 11
159,CREMERIE LS,CREMES UHT,CREMES UHT
610,FRUITS ET LEGUMES,F/L RAYON REFRIGERE,F/L RAYON REFRIGERE
32,D.P.H.,PAPIERS HYGIENIQUES,PAPIERS HYGIENIQUES
2494,D.P.H.,CAPILLAIRE HORS HOMME,CAPILLAIRE HORS HOMME - SS-FAML 1
2483,BAZAR LEGER,JOUETS,JOUETS - SS-FAML 2
263,FRUITS ET LEGUMES,F/L RAYON REFRIGERE,F/L RAYON REFRIGERE
1115,D.P.H.,EMBALLAGES / EPONGES,EMBALLAGES / EPONGES - SS-FAML 1
606,CREMERIE LS,FROMAGE LS,FROMAGE LS - SS-FAML 1
1155,CHARCUTERIE TRAITEUR LS,CHARCUTERIE LS ET SALAISON,CHARCUTERIE LS ET SALAISON - SS-FAML 5
1686,BAZAR LEGER,PLASTIQUE,PLASTIQUE - SS-FAML 2
449,CHARCUTERIE TRAITEUR LS,CHARCUTERIE LS ET SALAISON,CHARCUTERIE LS ET SALAISON - SS-FAML 12
1416,CREMERIE LS,ULTRA FRAIS,ULTRA FRAIS - SS-FAML 1
380,CREMERIE LS,FROMAGE LS,FROMAGE LS - SS-FAML 5
621,CREMERIE LS,FROMAGE LS,FROMAGE LS - SS-FAML 2
2080,LIQUIDES,BOISSONS GAZEUSES ET PLATES,BOISSONS GAZEUSES ET PLATES - SS-FAML 1
1,LIQUIDES,EAUX MINERALES / SOURCES,EAUX MINERALES / SOURCES - SS-FAML 3
117,CREMERIE LS,OEUFS,OEUFS
1266,PAIN PAT LS INDUS,PATISSERIE LS TRADITIONNELLE,PATISSERIE LS TRADITIONNELLE - SS-FAML 1
532,SAURISSERIE,TRAITEUR DE LA MER LS IND,TRAITEUR DE LA MER LS IND - SS-FAML 2
130,LIQUIDES,EAUX MINERALES / SOURCES,EAUX MINERALES / SOURCES - SS-FAML 4
